Metric,Value
Ticker,AAPL
Period,2025-09-29 to 2025-10-27
Data Points,21
,
CURRENT PRICE,
Current Price,$268.81
Previous Close,$262.82
Daily Change,$+5.99 (+2.28%)
,
PRICE EXTREMES,
Period High,$269.08 (2025-10-27)
Period Low,$244.00 (2025-10-10)
,
PRICE CHANGES,
1D Change,$+0.00 (+0.00%)
1M Change,$+14.38 (+5.65%)
1Y Change,$+14.38 (+5.65%)
,
RETURNS,
Avg Daily Return,0.2865%
Cumulative Return,5.65%
,
VOLATILITY,
30-Day (Annualized),24.43%
,
MOVING AVERAGES,
SMA-20,$255.75 (price +5.11% vs MA)
EMA-12,$258.73 (price +3.89% vs MA)
,
VOLUME,
Current Volume,"41,011,561"
20-Day Avg Volume,"44,113,138"
Current vs Avg,93.0%
,
RISK METRICS,
Sharpe Ratio,4.16
